Дата,Доллар США,Евро,Фунт стерлингов,Китайский юань,Японская йена,value_RUB,value_USD,value_EUR,value_GBP,value_JPY,value_CNY
2023-12-05,75.8846,82.8877,95.7512,10.9119,56.5881,7.5,5.06143,-0.64957,4.6877,-0.06005,1.32
2023-11-05,76.6929,84.1498,96.7251,11.039,56.7465,7.5,5.06171,-0.64957,4.681,-0.06005,1.102
2023-05-05,78.6139,86.9986,98.5268,11.3488,57.1654,7.5,5.05986,-0.64957,4.6336,-0.06005,1.234
2023-04-05,79.3071,87.575,98.9118,11.4456,57.6695,7.5,5.05871,-0.64957,4.6337,-0.06005,1.658
2023-03-05,79.9609,87.6556,100.4789,11.4884,58.1449,7.5,4.81086,-0.64957,4.6232,-0.06005,1.3888181818181817
2023-04-28,81.5601,90.2023,101.7218,11.7609,61.016,7.5,4.811,-0.64957,4.6199,-0.06005,2.134
2023-04-27,81.6274,90.1436,101.2343,11.7626,61.0344,7.5,4.81014,-0.64957,4.6086,-0.06005,0.868
2023-04-26,81.5499,90.0332,101.5786,11.7664,60.7267,7.5,4.79571,-0.64957,4.5919,-0.06005,1.217
2023-04-25,81.2745,89.4589,100.7641,11.77,60.6164,7.5,4.80071,-0.64957,4.6031,-0.06005,1.683
2023-04-21,81.6188,89.4638,101.6154,11.847,60.5391,7.5,4.80671,-0.64957,4.5865,-0.06005,2.272
2023-04-20,81.6549,89.3736,101.4807,11.8178,60.8911,7.5,4.80671,-0.64957,4.5902,-0.06005,2.207
2023-04-19,81.6028,89.5713,100.9019,11.8482,60.7073,7.5,4.80671,-0.64957,4.6016,-0.06005,2.13
2023-04-18,81.6279,89.659,101.5778,11.852,60.9846,7.5,4.80871,-0.64957,4.5313,-0.06005,2.047
2023-04-14,81.6758,90.0035,101.8171,11.8566,61.309,7.5,4.81471,-0.64957,4.4909,-0.06005,1.605
2023-04-13,82.0934,89.7599,102.0503,11.9142,61.3782,7.5,4.81214,-0.64957,4.4835,-0.06005,1.326
2023-12-04,82.1799,89.7271,102.1825,11.9248,61.5949,7.5,4.81486,-0.64957,4.4804,-0.06005,1.39
2023-11-04,81.7441,89.1737,101.7714,11.8746,61.6471,7.5,4.81629,-0.64957,4.4663,-0.06005,1.421
2023-07-04,80.6713,88.1294,100.4358,11.7039,61.5342,7.5,4.562051666666667,-0.64957,4.3149500000000005,-0.06005,1.374
2023-06-04,79.4961,87.0954,99.4973,11.5445,60.4441,7.5,4.80971,-0.64957,4.4378,-0.06005,1.34
2023-05-04,79.3563,86.7207,98.378,11.5308,59.8599,7.5,4.80929,-0.64957,4.4393,-0.06005,1.3625714285714285
2023-04-04,77.951,84.6185,96.3786,11.3028,58.5922,7.5,4.81171,-0.64957,4.4343,-0.06005,1.103
2023-03-31,77.0863,83.7639,94.9009,11.1847,58.1696,7.5,4.80086,-0.64957,4.418,-0.06005,1.838
2023-03-30,76.9781,83.4859,94.8909,11.1622,58.641,7.5,4.81143,-0.64957,4.4129,-0.06005,0.836
2023-03-29,76.5939,82.775,94.0114,11.1127,58.6253,7.5,4.81157,-0.64957,4.4042,-0.06005,0.901
2023-03-28,76.5662,82.2913,93.5945,11.1098,58.6041,7.5,4.811,-0.64957,4.4119,-0.06005,1.121
2023-03-24,76.3072,83.1452,93.339,11.1662,58.3165,7.5,4.80886,-0.64957,4.3538,-0.06005,1.288
2023-03-23,76.9561,82.967,93.8557,11.1547,58.1064,7.5,4.80714,-0.64957,4.3677,-0.06005,1.558
2023-03-22,76.8373,82.5428,94.1641,11.1652,57.9467,7.5,4.55857,-0.64957,4.3873,-0.06005,2.024
2023-03-21,77.2422,82.3736,93.772,11.2057,58.252,7.5,4.56057,-0.64957,4.2427,-0.06005,2.459
2023-03-17,76.4095,81.1418,91.9053,11.0485,57.6458,7.5,4.56086,-0.64957,4.2399,-0.06005,2.262
2023-03-16,75.7457,80.8763,92.0007,10.9704,56.2872,7.5,4.55086,-0.64957,4.2375,-0.06005,2.294
2023-03-15,75.1927,80.5192,91.4268,10.9296,56.5146,7.5,4.55971,-0.64957,4.2448,-0.06005,2.109
2023-03-14,75.4609,80.6102,91.3228,10.9313,56.1758,7.5,4.55357,-0.64957,4.26,-0.06005,1.829
2023-10-03,75.9028,80.1372,89.8461,10.8623,55.3954,7.5,4.55714,-0.64957,4.3433,-0.06005,1.829
2023-08-03,75.4577,80.5496,90.5643,10.8672,55.4469,7.5,4.55814,-0.64957,4.3608,-0.06005,1.648
2023-07-03,75.4728,80.2353,90.3938,10.8754,55.5519,7.5,4.56229,-0.64957,4.3201,-0.06005,1.436
2023-03-03,75.4729,80.1897,90.6203,10.9089,55.2915,7.5,4.55957,-0.64957,4.3061,-0.06005,1.291
2023-02-03,75.2513,80.1008,91.1067,10.9077,55.1858,7.5,4.55929,-0.64957,4.2946,-0.06005,1.62
2023-01-03,74.8932,79.5134,90.104,10.7467,54.9514,7.5,4.55714,-0.64957,4.3336,-0.06005,2.087
2023-02-28,75.4323,79.623,90.0737,10.7928,55.4038,7.5,4.55329,-0.64957,4.3247,-0.06005,2.083
2023-02-23,74.7087,79.5716,90.6889,10.8398,55.4219,7.5,4.56457,-0.64957,4.2612,-0.06005,1.475
2023-02-22,74.8596,79.7588,90.0411,10.8562,55.7613,7.5,4.55686,-0.64957,4.2528,-0.06005,1.765
2023-02-21,74.0432,79.133,88.837,10.7797,55.0835,7.5,4.55986,-0.64957,4.2393,-0.06005,2.195
2023-02-17,74.7638,79.9764,89.739,10.8855,55.7731,7.5,4.55686,-0.64957,4.2044,-0.06005,2.115
2023-02-16,74.2077,79.5654,90.2069,10.8473,55.9088,7.5,4.55814,-0.64957,4.1881,-0.06005,2.005
2023-02-15,73.8645,79.3355,89.6493,10.8227,55.8395,7.5,4.56186,-0.64957,4.2013,-0.06005,1.902
2023-02-14,73.6307,78.671,88.9017,10.7717,55.9079,7.5,4.55943,-0.64957,4.2125,-0.06005,1.576
2023-10-02,72.8949,78.3223,88.0352,10.7524,55.4123,7.5,4.55929,-0.64957,4.1779,-0.06005,1.865
2023-09-02,71.5763,76.8344,85.9989,10.5391,54.6843,7.5,4.55857,-0.64957,4.1673,-0.06005,2.318
2023-08-02,70.8924,75.9087,85.163,10.4331,53.4876,7.5,4.55514,-0.64957,4.1656,-0.06005,2.365
2023-07-02,70.5991,76.0347,85.4602,10.3815,53.3427,7.5,4.55329,-0.64957,4.1643,-0.06005,2.241
2023-03-02,70.0414,76.9564,86.333,10.4037,54.5494,7.5,4.55271,-0.64957,4.1553,-0.06005,1.262
