,Дата,Доллар США,Евро,Фунт стерлингов,Китайский юань,Японская йена,value_RUB,value_USD,value_EUR,value_GBP,value_JPY,value_CNY
0,12.05.2023,"75,8846","82,8877","95,7512","10,9119","56,5881","7,50",5.06143,,4.6877,,1.32
1,11.05.2023,"76,6929","84,1498","96,7251","11,0390","56,7465","7,50",5.06171,,4.681,,1.102
2,05.05.2023,"78,6139","86,9986","98,5268","11,3488","57,1654","7,50",5.05986,,4.6336,,1.234
3,04.05.2023,"79,3071","87,5750","98,9118","11,4456","57,6695","7,50",5.05871,,4.6337,,1.658
4,03.05.2023,"79,9609","87,6556","100,4789","11,4884","58,1449","7,50",4.81086,,4.6232,,
5,28.04.2023,"81,5601","90,2023","101,7218","11,7609","61,0160","7,50",4.811,,4.6199,,2.134
6,27.04.2023,"81,6274","90,1436","101,2343","11,7626","61,0344","7,50",4.81014,,4.6086,,0.868
7,26.04.2023,"81,5499","90,0332","101,5786","11,7664","60,7267","7,50",4.79571,,4.5919,,1.217
8,25.04.2023,"81,2745","89,4589","100,7641","11,7700","60,6164","7,50",4.80071,,4.6031,,1.683
9,21.04.2023,"81,6188","89,4638","101,6154","11,8470","60,5391","7,50",4.80671,,4.5865,,2.272
10,20.04.2023,"81,6549","89,3736","101,4807","11,8178","60,8911","7,50",4.80671,,4.5902,,2.207
11,19.04.2023,"81,6028","89,5713","100,9019","11,8482","60,7073","7,50",4.80671,,4.6016,,2.13
12,18.04.2023,"81,6279","89,6590","101,5778","11,8520","60,9846","7,50",4.80871,,4.5313,,2.047
13,14.04.2023,"81,6758","90,0035","101,8171","11,8566","61,3090","7,50",4.81471,,4.4909,,1.605
14,13.04.2023,"82,0934","89,7599","102,0503","11,9142","61,3782","7,50",4.81214,,4.4835,,1.326
15,12.04.2023,"82,1799","89,7271","102,1825","11,9248","61,5949","7,50",4.81486,,4.4804,,1.39
16,11.04.2023,"81,7441","89,1737","101,7714","11,8746","61,6471","7,50",4.81629,,4.4663,,1.421
17,07.04.2023,"80,6713","88,1294","100,4358","11,7039","61,5342","7,50",,,,,1.374
18,06.04.2023,"79,4961","87,0954","99,4973","11,5445","60,4441","7,50",4.80971,,4.4378,,1.34
